,Chromosome,Fitness,Probability,Location
0,"[0.5303612419824445, 0.8524437780817362, 0.2619326392291922, 0.21341934976362986, 0.5854105926259273, 0.9247674671295869, 0.7803227078322841, 0.46696386998135886, 0.16196909765194878, 0.2890250612118477, 0.05301690374008328, 0.817276423525488, 0.4644056547517478, 0.7483826757910692, 0.6193858059703691, 0.3679424501540306, 0.0641477352772758, 0.4451289799353909, 0.21272658427807656, 0.858647387674018, 0.4190486291858897, 0.9570527719358135, 0.7250304436730943, 0.7017119630452459, 0.9113123382556265, 0.1359001414226071, 0.41982758234448037, 0.42740508528553167, 0.29095364054554596, 0.8000898479008713, 0.6503516635258587, 0.8883652286747175, 0.7407022034330328, 0.5477514624244216, 0.6725687398871395, 0.02739946421072692, 0.733484719052027, 0.9809620286485629, 0.4422228271377413, 0.2233698040354979]",0.015105760550000456,0.019827881496758997,0.019827881496758997
1,"[0.7481099834375066, 0.5174869644173202, 0.6932350022816559, 0.5946396950106513, 0.1973216591474367, 0.555287207986402, 0.6217991244202928, 0.22869891275196974, 0.17506952170346202, 0.5923557702856166, 0.1550346647463111, 0.4429892864076096, 0.34966925113090497, 0.6275775589421905, 0.3885532486000184, 0.7958552540151603, 0.1910943635601846, 0.13233895326757084, 0.17841464127278783, 0.32135036139472517, 0.07072624864507471, 0.7816766911275733, 0.5469805455271418, 0.9774636987628584, 0.6524499919475115, 0.7681703682425882, 0.3704404816831032, 0.526375673000266, 0.31886762858244844, 0.3384506849801555, 0.6780369840261584, 0.49931004457955697, 0.6923498393698547, 0.1845920999470403, 0.8838659701637901, 0.7558447829726587, 0.9122009497569739, 0.3823777904390693, 0.37642161428957344, 0.21826169538868745]",0.015076274296022174,0.01978917772227975,0.03961705921903875
2,"[0.3408784353453064, 0.6714816255067346, 0.6563636334594455, 0.48009942789306315, 0.3534198900571758, 0.9074728541441824, 0.955201645792331, 0.521292537313191, 0.7369322729190002, 0.35215474108847, 0.06468201118637695, 0.8731252243903759, 0.13294157577781995, 0.31936636173002464, 0.47869851447352485, 0.3234805256620591, 0.2035845911613975, 0.07280545769127689, 0.30791385672426563, 0.19192501416527852, 0.9985342761889131, 0.12632640902942704, 0.9112928200197798, 0.4567832553587441, 0.8196767072808074, 0.2540812772626443, 0.3761370314589656, 0.2916740207024201, 0.6439196509890465, 0.4641490584566552, 0.34077450614517013, 0.5993790390166646, 0.5452477136018172, 0.14349374388682679, 0.03157720444781398, 0.8487231802720463, 0.7869236393783462, 0.10456181803343245, 0.7219588365670525, 0.06979416380169878]",0.015400931608428214,0.0202153242043543,0.059832383423393046
3,"[0.8532300079395867, 0.5026404489394495, 0.819642213726836, 0.739264013404611, 0.7082498741495743, 0.40698494693397647, 0.03321624989523808, 0.25189690186576363, 0.8025150828631619, 0.04860574431595921, 0.9424085116210658, 0.9022460650058155, 0.24350778729240452, 0.3814180953490013, 0.11356486271832578, 0.8591667111253082, 0.08864448843864015, 0.3030850343415452, 0.05401277270161553, 0.4694054645454392, 0.6896553666798702, 0.14164714447756155, 0.6313370863277435, 0.4567698785216052, 0.0643118676749781, 0.9690614111597554, 0.009211540924131567, 0.16766762269512514, 0.7619146314010253, 0.4700276979419733, 0.6889210030780983, 0.5511394748931779, 0.7812675111379254, 0.7722341965411681, 0.43838502749900043, 0.963082507669587, 0.29401324718906874, 0.9958019322438948, 0.7572444770548282, 0.6930395775942978]",0.015227669230353813,0.019987899316416053,0.0798202827398091
4,"[0.936144119064045, 0.9876138288325246, 0.8757907218032429, 0.7856690140703972, 0.5612304595435759, 0.47006638183625926, 0.69301812955041, 0.15924091335699697, 0.16421599405100928, 0.23747154469266807, 0.3420536420435375, 0.5085725868418647, 0.010621327565045191, 0.0852304658480263, 0.3696908321690031, 0.9372878205525466, 0.3506395120832142, 0.030268361634726126, 0.6053279408174992, 0.05871191447557611, 0.04669892842522816, 0.37367459053533847, 0.4233227453124939, 0.39131834175565317, 0.5641120458272496, 0.8055640222736382, 0.5420860618266342, 0.18614710422105052, 0.0649417096972913, 0.5017542073599552, 0.1216163330762049, 0.06686599274274951, 0.25497377555990686, 0.5448447384570136, 0.08318590913538515, 0.08500774468435612, 0.5885276605017067, 0.9721451704450049, 0.5481818090310255, 0.25924660730977367]",0.015210811274862021,0.019965771496855925,0.09978605423666502
5,"[0.36126978344527716, 0.8117565919602663, 0.6018999824296737, 0.02214507831731749, 0.26943592971771324, 0.46299386277886745, 0.8313156000453544, 0.6468524197960537, 0.5376966894528772, 0.41006333099615644, 0.6407589358501071, 0.5660316328406625, 0.26567706448239536, 0.19071225734789, 0.8255537853805522, 0.8884157330593487, 0.4997758583848938, 0.5077730971090516, 0.6421313442745894, 0.5331960331271708, 0.5489717818371584, 0.3709201492459283, 0.24899617255462436, 0.8003468033332325, 0.6943402700568285, 0.6371888105450517, 0.012059598709043162, 0.4321418935656386, 0.6582692903502051, 0.207752533532773, 0.5262501827601489, 0.1806370105658628, 0.6386565530255188, 0.06997715069078836, 0.7856764748944204, 0.1965357220372992, 0.49757642861698603, 0.43330197714751295, 0.7124634919605151, 0.8348559693975854]",0.015388882243867195,0.020199508160412896,0.11998556239707792
6,"[0.0003391276423806433, 0.31804792277360094, 0.14165972626328382, 0.03954063383934814, 0.7933208165681517, 0.8301534537976979, 0.24870888766272004, 0.5494240349141823, 0.014216261362733684, 0.14957886133424947, 0.12427996128838792, 0.48743730574726396, 0.9881877783652647, 0.6439299199811808, 0.6269128321453202, 0.8174603072770399, 0.4701952808385945, 0.8260926250365807, 0.216127778826677, 0.020798423549280298, 0.6123103098877576, 0.8971601824331007, 0.91364667273719, 0.14812308801796992, 0.4554504422239708, 0.34588811102124495, 0.8470349792137287, 0.024282110911087562, 0.6204126263856852, 0.12497997360923363, 0.2414885593017927, 0.366776196614211, 0.6056337635356882, 0.5105497479218709, 0.9057128831069519, 0.5379874781072546, 0.542166740118007, 0.8440989732122068, 0.8777056328734206, 0.7716328692755526]",0.015431850439659603,0.02025590838544502,0.14024147078252294
7,"[0.5548802893047022, 0.44873254867489065, 0.6648102583655122, 0.5932019786520143, 0.15425244522579007, 0.446553060980723, 0.13034753540340138, 0.6550249672704724, 0.8634293021110301, 0.6178422942708465, 0.009792799986205969, 0.18710080843151933, 0.005105756810248274, 0.8912095625767127, 0.7940418697049735, 0.12201652024505283, 0.7096234868645925, 0.9693441795164058, 0.27214659945192987, 0.11738789018930329, 0.9838051780066911, 0.703380878974278, 0.3384609854319679, 0.9840096042360061, 0.13797596417484492, 0.9757554860542418, 0.1283240363867244, 0.3550401047657389, 0.28329609368700126, 0.3757032349628887, 0.27110848545684885, 0.44342991820959654, 0.8197653521002959, 0.6950439842501227, 0.86150399761769, 0.893273631331527, 0.125172416372889, 0.14025113467799089, 0.054754954890911534, 0.7521050545079371]",0.014891344417956908,0.019546438027356672,0.15978790880987961
8,"[0.8613826791158429, 0.15169734058217288, 0.7535408407173834, 0.7167305082688947, 0.07724117477365011, 0.41594117229869265, 0.7378398443253379, 0.8004876812221475, 0.07165788861282851, 0.39830444404892473, 0.736157866794051, 0.8874515305905903, 0.20630235728165536, 0.7335026291818336, 0.32458094373630497, 0.5332838766346908, 0.2406073005082915, 0.4230372689529043, 0.5302398307518504, 0.7366055789429461, 0.7715397997946937, 0.8195505961570361, 0.010235131246084661, 0.18383848987177687, 0.43437127741584214, 0.006439210007366469, 0.9170523010334827, 0.25399036839175004, 0.10242875141609509, 0.576175040025115, 0.6632372886185685, 0.6175004911049817, 0.3077951221039693, 0.2626545172686797, 0.4595900389131945, 0.5407689299538666, 0.8157155883714137, 0.20344677586952598, 0.38111551288486023, 0.2850859506079576]",0.015217744757372588,0.01997487241363031,0.17976278122350992
9,"[0.8526581427819443, 0.8750748970356916, 0.8253059492834411, 0.22497332507439904, 0.6488606946042939, 0.16000672948083983, 0.12854066238939998, 0.9531279260539933, 0.4776302270113547, 0.8048082209161643, 0.5775006501977212, 0.4281778994926475, 0.2752303622996648, 0.9469313755842755, 0.9449794419471714, 0.9812990902104763, 0.7893097718119567, 0.4379090148133802, 0.3245265053317363, 0.667160311350281, 0.006935673508491669, 0.5420552126632961, 0.9866886685443518, 0.46760617313872355, 0.05922324174825033, 0.21371719003553202, 0.9591264617865408, 0.4908333895661873, 0.4039751906908078, 0.05118507560328045, 0.47914155185103, 0.8151025523839368, 0.18651766207160758, 0.9068836571397089, 0.15269653034814512, 0.7656551658548568, 0.44890719250521816, 0.9290442428455542, 0.9738752651741023, 0.03675185951174065]",0.015405473963668814,0.020221286517945112,0.19998406774145502
